,Year,Last,First,Hand,IP,G,W,L,SV,HLD,CG,SHO,PCT,BF,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA
0,2020,De La Rosa,Rubby,R,31.6666,35,2,0,17,5,0,0,1.0,132,23,3,16,0,3,28,1,0,9,9,2.56
1,2020,Diplan,Nattino,R,2.3333,2,0,0,0,0,0,0,0.0,16,7,3,2,0,1,2,1,0,5,5,19.29
2,2020,Fujioka,Takahiro,L,8.6666,12,0,0,0,0,0,0,0.0,39,7,1,6,1,1,6,1,0,3,3,3.12
3,2020,Furukawa,Yuri,R,4.6666,5,0,0,0,0,0,0,0.0,26,12,1,1,1,0,4,1,0,6,6,11.57
4,2020,Hatake,Seishu,R,65.6666,12,4,4,0,0,1,1,0.5,265,47,5,23,0,4,49,1,0,22,21,2.88
5,2020,Horioka,Hayato,R,12.6666,12,0,0,0,1,0,0,0.0,62,16,2,8,0,0,11,0,0,13,11,7.82
6,2020,Imamura,Nobutaka,L,62.6666,12,5,2,0,0,0,0,0.714,260,53,8,21,0,2,55,0,0,23,22,3.16
7,2020,Kagiya,Yohei,R,37.3333,46,3,1,0,13,0,0,0.75,148,25,2,13,1,1,40,0,0,12,12,2.89
8,2020,Kuwahara,Takuya,R,7.0,5,1,0,0,0,0,0,1.0,32,6,0,5,0,1,6,0,0,5,5,6.43
9,2020,Masuda,Daiki,R,0.6666,1,0,0,0,0,0,0,0.0,3,0,0,1,0,0,0,0,0,0,0,0.0
10,2020,Mercedes,Cristopher Crisostomo,L,58.0,11,4,4,0,0,0,0,0.5,243,53,5,19,2,2,45,0,1,20,20,3.1
11,2020,Miyaguni,Ryosuke,R,25.3333,21,0,0,0,0,0,0,0.0,109,27,5,8,1,0,22,1,0,15,15,5.33
12,2020,Nakagawa,Kota,L,36.0,37,2,1,6,15,0,0,0.667,139,24,1,10,3,1,26,0,0,4,4,1.0
13,2020,Naoe,Daisuke,R,12.0,3,0,0,0,0,0,0,0.0,49,10,2,3,0,1,11,0,0,4,4,3.0
14,2020,Numata,Shohei,R,4.3333,5,0,0,0,0,0,0,0.0,23,6,1,4,0,0,3,1,0,5,5,10.38
15,2020,Ohe,Ryusei,L,37.6666,43,3,0,0,9,0,0,1.0,156,21,5,22,1,5,30,0,0,15,13,3.11
16,2020,Ohtake,Kan,R,24.3333,29,1,2,0,16,0,0,0.333,100,20,3,9,0,1,16,0,0,9,7,2.59
17,2020,Sakurai,Toshiki,R,63.6666,24,2,4,0,4,0,0,0.333,281,68,15,21,1,5,43,0,0,37,35,4.95
18,2020,Sanchez,Angel,R,87.6666,15,8,4,0,0,0,0,0.667,363,74,8,34,1,0,59,0,0,35,30,3.08
19,2020,Sawamura,Hirokazu,R,13.3333,13,1,1,0,1,0,0,0.5,64,14,1,8,0,2,11,0,0,9,9,6.08
20,2020,Sugano,Tomoyuki,R,137.3333,20,14,2,0,0,3,3,0.875,532,97,8,25,0,7,131,2,0,33,30,1.97
21,2020,Taguchi,Kazuto,L,89.3333,26,5,7,1,2,0,0,0.417,379,91,10,26,2,5,58,2,0,48,46,4.63
22,2020,Takagi,Kyosuke,L,12.3333,17,0,1,1,4,0,0,0.0,49,11,1,2,0,0,12,2,0,5,5,3.65
23,2020,Takahashi,Yuki,L,23.0,8,1,3,0,2,0,0,0.25,101,22,2,12,0,0,23,3,0,12,11,4.3
24,2020,Takanashi,Yuhei,L,37.3333,44,1,1,2,21,0,0,0.5,141,17,2,13,0,6,37,1,1,10,8,1.93
25,2020,Tanaka,Toyoki,R,27.6666,31,1,1,0,1,0,0,0.5,133,32,4,18,1,3,21,0,0,19,15,4.88
26,2020,Togo,Shosei,R,107.6666,19,9,6,0,0,0,0,0.6,446,87,12,42,0,6,106,1,0,33,33,2.76
27,2020,Vieira,Thyago,R,24.6666,27,0,1,0,2,0,0,0.0,118,27,3,17,1,2,29,1,0,9,9,3.28
28,2020,Yokogawa,Kai,L,5.6666,2,0,0,0,0,0,0,0.0,20,4,1,1,0,0,2,0,0,1,1,1.59
